date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:26	2799/2799	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-aef%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-keep-distance.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-keep-distance.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:28	3346/3346	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-d12%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-avoid-crowds.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-avoid-crowds.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:31	11253/11253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-2bf5%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-body-temperature-check.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-body-temperature-check.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:32	1130/1130	---M--	200	added ('OK')	image/png	etag:%22660178a7-46a%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-mandiri.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-mandiri.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:32	1222/1222	---M--	200	added ('OK')	image/png	etag:%22660178a7-4c6%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-bca.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-bca.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:33	1233/1233	---M--	200	added ('OK')	image/png	etag:%22660178a7-4d1%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-bri.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-bri.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:37	1487/1487	---M--	200	added ('OK')	image/png	etag:%22660178a7-5cf%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-bni.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-bni.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:37	1273/1273	---M--	200	added ('OK')	image/png	etag:%22660178a7-4f9%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-permata.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-permata.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:39	2605/2605	---M--	200	added ('OK')	image/png	etag:%22660178a7-a2d%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-atmb.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-atmb.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:41	2118/2118	---M--	200	added ('OK')	image/png	etag:%22660178a7-846%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-prima.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-prima.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:41	2004/2004	---M--	200	added ('OK')	image/png	etag:%22660178a7-7d4%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-alto.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-alto.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:42	1321/1321	---M--	200	added ('OK')	image/png	etag:%22660178a7-529%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-gopay.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-gopay.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:42	1550/1550	---M--	200	added ('OK')	image/png	etag:%22660178a7-60e%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-ovo.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-ovo.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:44	883/883	---M--	200	added ('OK')	image/png	etag:%22660178a7-373%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-shopeepay.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-shopeepay.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:44	850/850	---M--	200	added ('OK')	image/png	etag:%22660178a7-352%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-dana.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-dana.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:45	1137/1137	---M--	200	added ('OK')	image/png	etag:%22660178a7-471%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-linkaja.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-linkaja.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:46	1236/1236	---M--	200	added ('OK')	image/png	etag:%22660178a7-4d4%22	https://wedew.id/themes/wedew-platform/assets/icons/payment-alfa.png	/home/jona/websites/asdasd/wedew.id/themes/wedew-platform/assets/icons/payment-alfa.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:55	7170/7170	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f87be97d2302104cf3258aec5cfd9747%22	https://wedew.id/combine/f87be97d2302104cf3258aec5cfd9747-1709119696.js	/home/jona/websites/asdasd/wedew.id/combine/f87be97d2302104cf3258aec5cfd9747-1709119696.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:55	8291/8291	---M--	200	added ('OK')	image/png	etag:%22cf415babfa3ca1cce5532c3a68065cd4%22	https://storage.wedew.id/uploads/public/600/c39/fb3/thumb_1233857_100_100_0_0_auto.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/600/c39/fb3/thumb_1233857_100_100_0_0_auto.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:57	358630/358630	---MCZ	200	added ('OK')	application/javascript	etag:W/%2236194f7aa9b38698a1a5557830e01a54%22	https://wedew.id/combine/36194f7aa9b38698a1a5557830e01a54-1709119695.js	/home/jona/websites/asdasd/wedew.id/combine/36194f7aa9b38698a1a5557830e01a54-1709119695.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:58	1462/1462	---MC-	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2012:06:58%20GMT	https://fonts.googleapis.com/css?family=Source+Sans+Pro:100,400,700,900|Montserrat:100,400,700,900	/home/jona/websites/asdasd/fonts.googleapis.com/css6af7.css	(from https://demo.wedew.id/)
19:07:02	334769/334769	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ebd91ca990e67afc53ec1e9d6f54167%22	https://wedew.id/combine/1ebd91ca990e67afc53ec1e9d6f54167-1709119697.js	/home/jona/websites/asdasd/wedew.id/combine/1ebd91ca990e67afc53ec1e9d6f54167-1709119697.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:02	257869/257869	---MCZ	200	added ('OK')	text/css	etag:W/%22b490870ce987fff8b83835939804c1f5%22	https://wedew.id/combine/b490870ce987fff8b83835939804c1f5-1709119694.css	/home/jona/websites/asdasd/wedew.id/combine/b490870ce987fff8b83835939804c1f5-1709119694.css	(from https://demo.wedew.id/)
19:07:04	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22660178a6-3d%22	https://wedew.id/robots.txt		(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:05	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2013%20Apr%202024%2012:07:05%20GMT	https://fonts.googleapis.com/robots.txt		(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:06	473/473	URF---	200	added ('OK%20(cached)')	application/webmanifest		https://wedew.id/site.webmanifest	/home/jona/websites/asdasd/wedew.id/site.webmanifest	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:06	56515/56515	---M--	200	added ('OK')	image/gif	etag:%22660178a7-dcc3%22	https://wedew.id/themes/minimal/assets/images/save-the-date.gif	/home/jona/websites/asdasd/wedew.id/themes/minimal/assets/images/save-the-date.gif	(from https://demo.wedew.id/)
19:07:06	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22660178a6-3d%22	https://wedew.id/robots.txt		(from https://demo.wedew.id/?theme_preview=flower-gold)
